"finest_name","kingdom","phylum","class","order","family","genus","species","community"
"Harpalus distinguendus","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus distinguendus","macrofauna_surface"
"Hymenoptera","Metazoa","Arthropoda","Insecta","Hymenoptera","unassigned","unassigned","unassigned","macrofauna_surface"
"Messor","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Messor","unassigned","macrofauna_surface"
"Phaeocedus braccatus","Metazoa","Arthropoda","Arachnida","Araneae","Gnaphosidae","Phaeocedus","Phaeocedus braccatus","macrofauna_surface"
"Oligota","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Oligota","unassigned","macrofauna_surface"
"Linyphiidae","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","unassigned","unassigned","macrofauna_surface"
"Oxypoda","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Oxypoda","unassigned","macrofauna_surface"
"Carpophilus","Metazoa","Arthropoda","Insecta","Coleoptera","Nitidulidae","Carpophilus","unassigned","macrofauna_surface"
"Araneae","Metazoa","Arthropoda","Arachnida","Araneae","unassigned","unassigned","unassigned","macrofauna_surface"
"Coleoptera","Metazoa","Arthropoda","Insecta","Coleoptera","unassigned","unassigned","unassigned","macrofauna_surface"
"Staphylinidae","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","unassigned","unassigned","macrofauna_surface"
"Leptaleus rodriguesi","Metazoa","Arthropoda","Insecta","Coleoptera","Anthicidae","Leptaleus","Leptaleus rodriguesi","macrofauna_surface"
"Atheta","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Atheta","unassigned","macrofauna_surface"
"Aleocharinae","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","unassigned","unassigned","macrofauna_surface"
"Pheidole pallidula","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole pallidula","macrofauna_surface"
"Psocoptera","Metazoa","Arthropoda","Insecta","Psocoptera","unassigned","unassigned","unassigned","macrofauna_surface"
"Alaobia scapularis","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Alaobia","Alaobia scapularis","macrofauna_surface"
"Cicadellidae","Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae","unassigned","unassigned","macrofauna_surface"
"Harpalus dispar","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus dispar","macrofauna_surface"
"Atomaria","Metazoa","Arthropoda","Insecta","Coleoptera","Cryptophagidae","Atomaria","unassigned","macrofauna_surface"
"Phalangiinae","Metazoa","Arthropoda","Arachnida","Opiliones","Phalangiidae","unassigned","unassigned","macrofauna_surface"
"Chrysomelidae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","unassigned","unassigned","macrofauna_surface"
"Calathus fuscipes","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Calathus","Calathus fuscipes","macrofauna_surface"
"Enchytraeidae","Metazoa","Annelida","Clitellata","Enchytraeida","Enchytraeidae","unassigned","unassigned","macrofauna_surface"
"Athous","Metazoa","Arthropoda","Insecta","Coleoptera","Elateridae","Athous","unassigned","macrofauna_surface"
"Julidae","Metazoa","Arthropoda","Diplopoda","Julida","Julidae","unassigned","unassigned","macrofauna_surface"
"Nitidulidae","Metazoa","Arthropoda","Insecta","Coleoptera","Nitidulidae","unassigned","unassigned","macrofauna_surface"
"Lycosidae","Metazoa","Arthropoda","Arachnida","Araneae","Lycosidae","unassigned","unassigned","macrofauna_surface"
"Diptera","Metazoa","Arthropoda","Insecta","Diptera","unassigned","unassigned","unassigned","macrofauna_surface"
"Zodarion","Metazoa","Arthropoda","Arachnida","Araneae","Zodariidae","Zodarion","unassigned","macrofauna_surface"
"Gastropoda","Metazoa","Mollusca","Gastropoda","unassigned","unassigned","unassigned","unassigned","macrofauna_surface"
"Epuraea ocularis","Metazoa","Arthropoda","Insecta","Coleoptera","Nitidulidae","Epuraea","Epuraea ocularis","macrofauna_surface"
"Tachyporus","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Tachyporus","unassigned","macrofauna_surface"
"Armadillidium vulgare","Metazoa","Arthropoda","Malacostraca","Isopoda","Armadillidiidae","Armadillidium","Armadillidium vulgare","macrofauna_surface"
"Deroceras","Metazoa","Mollusca","Gastropoda","Stylommatophora","Agriolimacidae","Deroceras","unassigned","macrofauna_surface"
"Rhyzobius","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Rhyzobius","unassigned","macrofauna_surface"
"Gnaphosidae","Metazoa","Arthropoda","Arachnida","Araneae","Gnaphosidae","unassigned","unassigned","macrofauna_surface"
"Microlestes","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Microlestes","unassigned","macrofauna_surface"
"Licinus punctatulus","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Licinus","Licinus punctatulus","macrofauna_surface"
"Astenus","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Astenus","unassigned","macrofauna_surface"
"Harpalus attenuatus","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus attenuatus","macrofauna_surface"
"Cryptophagidae","Metazoa","Arthropoda","Insecta","Coleoptera","Cryptophagidae","unassigned","unassigned","macrofauna_surface"
"Salticidae","Metazoa","Arthropoda","Arachnida","Araneae","Salticidae","unassigned","unassigned","macrofauna_surface"
"Aphidoidea","Metazoa","Arthropoda","Insecta","Hemiptera","unassigned","unassigned","unassigned","macrofauna_surface"
"Pyrrhocoris apterus","Metazoa","Arthropoda","Insecta","Hemiptera","Pyrrhocoridae","Pyrrhocoris","Pyrrhocoris apterus","macrofauna_surface"
"Apion","Metazoa","Arthropoda","Insecta","Coleoptera","Apionidae","Apion","unassigned","macrofauna_surface"
"Arionidae","Metazoa","Mollusca","Gastropoda","Stylommatophora","Arionidae","unassigned","unassigned","macrofauna_surface"
